,Dest_City,avg_price_PLN,avg_cost_per_km
0,Amsterdam,944.89,0.40483892390284454
1,Barcelona,1170.08,0.5013217708730543
2,Bari,1124.38,0.48174156701613985
3,Dortmund,564.33,0.35864860914273367
4,Eindhoven,642.53,0.4083470501877991
5,Frankfurt,1192.15,0.7576470139625927
6,Fuerteventura,5047.0,3.2075195902102966
7,Heraklion,1577.98,1.0028535294155032
8,Las Palmas,4394.0,2.7925185415859013
9,London,350.81,0.1503048427799605
10,Munich,1140.01,0.4884382538057147
11,MÃ¡laga,1278.38,0.5477229979562895
12,Oslo,717.14,0.4557639387603353
13,Split,1507.56,0.9580995112774787
14,Tenerife,2060.0,1.3091916694735906
